review_id,puskesmas_id,puskesmas_name,wilayah,rating,stratum,review_text
PKM_SMG_037_R0100_3fd45573,PKM_SMG_037,Karanganyar,Semarang,2,Semarang | sedang | 2★,"pelayanan tidak ramah, saya sarankan harus tetap senyum kepada pasien,tp ini judes banget. Yang duduk di dekat timbangan, menghadap ke pintu poli umum"
PKM_BTL_002_R0554_2a510c6c,PKM_BTL_002,Banguntapan 1,Bantul,2,Bantul | panjang | 2★,"Bagian Poli batuk pelayanan nya kurang teliti, nunggu periksa dari pendaftaran sampai dapat obat hampir 3 jam , capek2 nunggu di selang terus sama yg baru datang . (Padahal yg baru datang juga gak daftar online) sama2 pasien offline"
PKM_BTL_013_R1339_f9b8b066,PKM_BTL_013,Kasihan 1,Bantul,1,Bantul | sedang | 1★,"Kecewa dengan pelayanannya,, disuruh nunggu agak lama ,mau minta surat dokter aja gak dikasih,alasannya gak ada dokternya pdahal jelas sakit"
PKM_SBY_009_R0436_ae8b8b18,PKM_SBY_009,Jemursari,Surabaya,2,Surabaya | pendek | 2★,Pelayanan sangat buruk
PKM_SBY_003_R0226_6ae58665,PKM_SBY_003,Banyu  Urip,Surabaya,1,Surabaya | panjang | 1★,"Di bagian KIA itu parah,,,perawat /berseragam resmi,,,ngomong aja,,,gk tanggap terhadap pasien,,,,,seakan ''mereka gk butuh pasien,,,,,,Tp yg butuh pasiennya, tambah yg lbh tanggap yg beseragam biasa,,tolong lebih  di perbaiki kinerjannya,,,biar pasien tertolong bukan di biarkan saja"
PKM_SBY_058_R0503_0177b7a1,PKM_SBY_058,Tambakrejo,Surabaya,1,Surabaya | panjang | 1★,"saya bertemu orang yang sakit batuk dan dadanya sakit udah sebulan minta surat rujukan tidak dikasih, cuma di kasih obat 1 macam obat kunyah antasida doen padahal mama saya yang sakit maag diberi obat tersebut katanya untuk maag. Mohon pemerintah memperhatikan pelayanan kesehatan masyarakat, baik yang menggunakan bpjs maupun yang tidak."
PKM_SMG_015_R0517_b3133a1f,PKM_SMG_015,Krobokan,Semarang,2,Semarang | panjang | 2★,"Pelayanan kurang baik, komunikasi perawat dan dokter terhadap pasien tidak ramah sama sekali.
Saran: sebaiknya komunikasi kepada pasien lebih di ramahkan ,karna pasien yang sedang sakit apabila dilayani dengan baik akan membuat pasien nyaman. Semoga kritik saran ini menjadi masukan ya... Stay safe and stay healthy"
PKM_SBY_009_R0442_eee0d7b0,PKM_SBY_009,Jemursari,Surabaya,1,Surabaya | sedang | 1★,Mohon di perhatikan lagi jika memang sedang ada maintanance atau perbaikan gedung puskesmas lebih baik tutup dari pada tetap mengusahakan pelayanan tapi tidak ada kenyamanan
PKM_SBY_050_R0439_5c0454c6,PKM_SBY_050,Perak Timur,Surabaya,1,Surabaya | sedang | 1★,Pelayanan sangat buruk. Padahal daftar online dari jam 6. Berangkat jam 7 sampai setengah 10 belum di panggil ! Tolong segera di benahi
PKM_BTL_004_R0681_b1a1b0fb,PKM_BTL_004,Banguntapan 3,Bantul,2,Bantul | sedang | 2★,Pelayanan lambat sekali entah masih manual atau gimana sistemnya..mohon diperbaiki demi kebaikan bersama dalam melayani masyarakat 🙏
PKM_SMG_007_R0043_debea338,PKM_SMG_007,Genuk,Semarang,2,Semarang | panjang | 2★,"waktu itu saya daftar buat preksa, nama nya jg orang sakit kan ya lemes gitu, ga kuat berdiri lama, nah setelah saya kasi ktp saya duduk, karna saya lemes, dan saya waktu itu salah denger, eh gtau nya sana mala pake nada agak tinggi huhu sedih.
dan epic nya, setelah pulang dari puskesmas saya pingsan dan muntah di jalan, dan di larikan ke nayaka, untuk mendapat pertolongan pertama, yaitu uap dan suntikan, kata di puskesmas baik"" aja cm butuh istirahat dan minum yang banyak
semoga kalo kesana lagi ga dapet prilaku yang sama ya, iya tau ko gratis🙏🙏🙏🙏🙏🙏🙏🙏"
PKM_SBY_028_R0264_a3f1cb2e,PKM_SBY_028,Wonokromo,Surabaya,1,Surabaya | sedang | 1★,"pelayanan buruk, antri terlalu lama, mba mba nya banyak yang gasopan, sinis klo jawab dan ga ramah, orang klo ga denger kepanggil teriak"" dari dalam terkesan ga sopan sekali"
PKM_SBY_007_R0565_6ec1461c,PKM_SBY_007,Gunung  Anyar,Surabaya,1,Surabaya | sedang | 1★,lama sekali pelayanan nya gak tau manggil pasien nya lama banget tlong dong d perbaiki kasian yg sakit yg kerja pada lama nunggu nya
PKM_SMG_008_R0298_2c1246a3,PKM_SMG_008,Gunungpati,Semarang,2,Semarang | pendek | 2★,"Apoteker gak teliti kecewa, obat bisa ketuker"
PKM_SBY_002_R0033_509781c1,PKM_SBY_002,Bangkingan,Surabaya,1,Surabaya | sedang | 1★,"Gedung dan staff sama-sama kurang baik. Setidaknya jika gedung kurang baik, berikan pelayanan yg terbaik.

Mohon refresh kelilmuan mengenai alur dan peraturan BPJS."
PKM_SBY_003_R0414_1856dad0,PKM_SBY_003,Banyu  Urip,Surabaya,1,Surabaya | sedang | 1★,Lelet sekali pelayanannya. Disuruh balik berulang kali.
PKM_SMG_026_R0202_509c0b59,PKM_SMG_026,Pandanaran,Semarang,1,Semarang | panjang | 1★,"Pustaka Pandanaran kalo ngasi info yg jelas lah.
Layanan sampe sore itu yg dilayani apa aja, layanan2 tertentu itu jadwalnya kapan.
Biar gak kecele udh jauh2, buru2 tp info yg kita dpt dari WA Pustaka nya gak valid."
PKM_SBY_023_R0282_f631b0d3,PKM_SBY_023,Sawahan,Surabaya,1,Surabaya | pendek | 1★,Petugas tidak ramah dan antriannya tidak jelas
PKM_SMG_029_R0046_eb91e05d,PKM_SMG_029,Pudakpayung,Semarang,1,Semarang | sedang | 1★,"Dari jkn jam pelayanan bulan puasa sampai jam 15.15, tapi tutup pelayanan jam 14.45, dokter e wes balik, maksud e piye rek kui. Tiwas mlayu-mlayu ijin seko gawean, malah rak iso prikso."
PKM_SMG_010_R0001_849bfca9,PKM_SMG_010,Kagok,Semarang,2,Semarang | panjang | 2★,"Pada pagi hari ini (11 mei 2026) skitar pukul 07.22 pertama petugas wanita berkacamata di pendaftaran awal JUDES, ke-2 pada saat cek tensi (petugas yg duduk dekat timbangan & tinggi badan) mendahulukan pasien yg terlihat mampu (krn pakai emas) pdhl pasien tersebut 1 nomor setelah sy & dia dtg 10 mnit setelah sy dtg.. tp dia di panggil duluan drpd sy yg dtg lebih awal.. ke-3 dokter laki2 di ruang pemeriksaan umum pojok (dekat laboratorium) mimik wajahnya tidak ramah & tidak mencerminkan kepribadian seorang dokter yg hrs ramah d fasilitas publik. Smoga ada perbaikan dari pihak PUSKESMAS KAGOK SEMARANG"
PKM_SBY_014_R0545_ed88b809,PKM_SBY_014,Klampis  Ngasem,Surabaya,1,Surabaya | panjang | 1★,"Maaf nih beribu maaf
Saya mau mengajukan surat kesehatan untuk keperluan menikah di Surabaya, saya asli Madura Bangkalan
Perjalanan menuju Surabaya paling cepat 1.5 jam
Hari itu adalah hari Jumat, dan puskesmas tutup jam 9.30 pagi
Saya konfirmasi ke pihak puskesmas untuk memastikan jadwal analisnya ada
Dan ternyata jadwal analis belum muncul sampai jam 7.42 pagi
Saya buru-buru berangkat dari Madura dengan keadaan hujan lebat
Sesampainya di puskesmas pada jam 9.12
Saya langsung mengurus ke loket dan pangsung ke KIA
Nah masalahnya adalah tidak semua pegawai yg ada di puskesmas adalah orang muda yg cepat tanggap
Tetapi ada juga yg sudah termasuk lansia, jadi untuk pengoperasian komputer saja sangat lama
Lalu saya di suruh untuk cek lab dahulu
Di laboratorium saya sudah minta maaf berkali-kali tetapi pegawainya sangat cuek dan terkesan nyinyir
Saya sampai di tusuk 3 kali untuk mencari nadi saya
Karena pihak laboratoriumnya udah g fokus sama kerjaan dan udah pengen pulang aja
Lain kali saya sarankan
Untuk pelayanan publik mohon banget untuk pemerintah setempat memperhatikan hospitality nya
Karena pelayanan publik sasarannya adalah masyarakat biasa
Sekian dari saya"
PKM_BTL_006_R0096_757e8f41,PKM_BTL_006,Bantul 2,Bantul,2,Bantul | panjang | 2★,"untk pendftrn cepat, tp untuk bagian pemeriksaan lama syekali
entah di sambi ngobrol,mainan hp,dan untk nmr yg di panggil tdk datang2, shrsnya hrs antri lg dr belakang jgn lngsng masuk aj nerobos antrian
kasihan yg ikut antrii sblm nya"
PKM_SBY_033_R0340_049869f9,PKM_SBY_033,Dupak,Surabaya,1,Surabaya | pendek | 1★,Pelayanannya lama sekali ...
PKM_SMG_036_R0192_5940ffd8,PKM_SMG_036,Telogosari Wetan,Semarang,1,Semarang | sedang | 1★,"Dokter tidak informatif, ruang tunggu farmasi panas"
PKM_SMG_020_R1116_8689ef3d,PKM_SMG_020,Mijen,Semarang,2,Semarang | panjang | 2★,"Pelayanan resepsionis memuaskan, hanya saja di poli mtbs saya kira petugasnya perlu belajar lagi bagaimana cara mengedukasi dan memberikan konseling terhadap pasien yang baik dan santun. Tidak menggunakan kata2 yang dapat menyinggung serta terkesan merendahkan pasien. Saya masih ingat betul, saya dibilang tidak niat punya anak hanya karena saat itu saya tidak menggunakan baju yg busui friendly. Saya paham niatnya mau mengedukasi, tp nyatanya sbg pasien yg saya terima ucapan yang menyinggung. Seakan2 saya tidak layak menjadi ibu hanya krn saya berpenampilan sedikit niat dan rapih. Memangnya salah kalau saya berpenampilan baik, apakah seorang ibu harus berpenampilan compang camping pakai daster tidak perlu berias dll. Saya juga seorang tenaga kesehatan, yg juga memiliki tanggung jawab memberikan konseling dan mengedukasi pasien namun saya mengusahakan mengedukasi pasien tanpa menyinggung. Waktu periksa anak saya saat itu, anak saya menangis rewel dan petugasnya tidak menghiraukan malah meneruskan obrolannya dg nada mengintimidasi. Saya sampai ga habis pikir, semua kata2nya yg mengintimidasi masih saya ingat betul sampai detik ini. Bahkan wajahnya pun juga saya masi ingat. Semoga sakit hati saya tidak kemudian menyulitkan urusan anda ke depannya ya bu yg bertugas di poli mtbs"
PKM_SMG_006_R0400_1a2d15bb,PKM_SMG_006,Gayamsari,Semarang,1,Semarang | panjang | 1★,"Pelayanan Di KIA Buruk
Suami tidak boleh masuk untuk memantau perkembangan calon buah hati

Tolong di buat standart yang lebih baik lagi, kami juga para suami berhak memantau perkembangan calon anak

Buruk sekali
Sudah menunggu dari jam 8 sampai jam 10 giliran di priksa suami suruh menunggu di luar

Dengan alasan mau mriksa pasien lain

Ya buat ruangan lebih kalau mau CPT
Rak niat"
PKM_SMG_002_R0683_f105af05,PKM_SMG_002,Bangetayu,Semarang,1,Semarang | sedang | 1★,Saya periksa kok malah di ajak adu nasib sama dokter e . Gmna. Coba?? Ilmu boleh tinggi adab jangan di rendahin
PKM_SMG_022_R0831_ea3d5702,PKM_SMG_022,Ngaliyan,Semarang,2,Semarang | panjang | 2★,"permisi, sepertinya saya perlu berbicara atas kejadian yang sudah saya alami sebelumnya di bulan Mei. Kejadian di Poli Gigi
Saya sedang menjalani proses pencabutan gigi berminggu², sampai pada akhirnya saya cabut di akhir bulan Mei.
sebelum mnjelaskan lanjut, saya pengguna layanan BPJS pindahan faskes dr Bogor (rumah saya) ke Puskesmas Ngaliyan (domisili saya) krn keadaan.
Selama saya cek gigi di faskes Bogor menggunakan BPJS sudah hampir 6 tahun dulu untuk pembersihan gigi dll. alhamdulillah semua dilakukan dgn baik, tambal dan pembersihan plak dilakukan dgn baik tnpa ada cedera atau masalah.
lalu saya pindah domisili ke Ngaliyan, dn hrus memindah faskes BPJS saya ke daerah terdekat dr domisili saya, ya di Puskesmas Ngaliyan ini.
Singkatnya saya mau melakukan pencabutan gigi berlubang graham, saya sudah optimis karena ini pertama kali saya cabut gigi, tapi saya sangat kecewa karena setelah 1 bulan ini gusi saya masih berdarah terkadang, berdarah dlm jumlah yg mnurut saya banyak krn ini sdh 1 bulan lebih.
sampai kemarin saya cek gusi saya melalui cermin, saya sempat heran kenapa ada sesuatu yang seperti tertancap digusi pasca op cabut gigi? warnanya putih kusam, ada bagian patahan yg runcing, dan ada bercak gigi keropos..
lalu karena itu sgt menyakiti gusi, akhirnya saya cabut sendiri perlahan menggunakan pinset yg sdh d steril alkohol...
Dan... BENAR. ITU SISA POTONGAN GIGI YANG TERTINGGAL SEJAK OPERASI CABUT GIGI.
kaget jujur, ini pertama kali bagi saya, dan membekas trauma buat saya sekarang.
pertanyaannya, ""kenapa dokter gigi tidak mengecek dengan teliti gusi saya?"". apakah krn pengguna BPJS kah? atau karena apa ya? krn klinik faskes saya di kota Bogor tdk pernah sprti ini ketika ayah saya cabut gigi disana, hasilnya bersih.

berarti ini sudah 1 bulan lebih potongan kecil giginya ada di gusi, dan melukai gusi yg terus meradang.
tindakan lanjut waktu itu di pertengahan pasca op saya kembali dtg ke puskesmas, tp saya hanya diyakinkan kalau itu sakit biasa pasca cabut gigi (TDK DI CEK SAMA SEKALI).
dan ?? gimana ini? tolong responnya.

ini termasuk tindakan yg perlu ditanggapi pihak puskesmas, karena operasi kecil semacam ini jg masih berbahaya kalau asal²an ditanggapi.
bagaimana kalau ternyata ada pasien lain yg mengalami dan tidak tahu ada masalah apa pada giginya? infeksi atau smacamnya adalah sebuah kehidupan yg buruk.

bintang 2, krn jujur pelayanan antre dan sistem penanganan penjelasan dokter jg sangat baik. cmn saya kecewa atas tindakan yg terjadi ke saya.

mohon maaf jika saya upload di Ulasan umum. terimakasih tolong lebih bijak lagi.

berikut bukti sisa potongan gigi yg saya cabut sndiri,"
PKM_SBY_041_R0178_78b95a4a,PKM_SBY_041,Krembangan Selatan,Surabaya,1,Surabaya | panjang | 1★,"Pelayanan bobrok, mama saya dapat surat dari dokter specialis untuk berobat di soewandi, tinggal mengeluarkan surat rujukan, susahnya dengan berbagai alasan, bilang ada obat dll, pdhal diagnosa dermatitis atopik, hingga saat ini tidak ada kemajuan terhadap mama saya, saya juga pernah sampai riwariwi sebulan tidak sembih sama sekali, sampai akhirnya saya brobat sndiri ke dokter specialis, sekali saja sudah sembuh. Tapi di puskesmas ini sampai sebulan lebih, ganti obat macam"", tidak ada kemajuan. Sekarang saya pindah puskesmas. Tinggal mama saya yang belum pindah"
PKM_SBY_029_R0311_802566cc,PKM_SBY_029,Asemrowo,Surabaya,2,Surabaya | panjang | 2★,"Sekarang pelayanan nya gak kayak dulu dulu dokternya ramah2 dan telaten,, knpa pasen batuk pilek gak ada pemeriksaan ,, klo gak d periksa mana tau pasen ini sakitnya apa udah 3 hari batuk belum sembuh ,, mana obat sudah habis,,tolong dong pelayanan kepada pasen batuk dan pilek d periksa lebih lanjut jgn di kira pasen batuk pilek itu covid trsss"
PKM_BTL_002_R0718_3d7c36e9,PKM_BTL_002,Banguntapan 1,Bantul,1,Bantul | panjang | 1★,"Kecewa berat.. Bawa bayiku yg demam tinggi berobat kesana.. Tp mlh dicuekin dan disuruh nunggu dipanggil, sampe 1/2jam g dipanggil jg pdhal didlm ruang periksa sdh kosong. Akhirnya milih ke rmh sakit langsung krn kondisi sdh gawat."
PKM_BTL_004_R0701_c6272259,PKM_BTL_004,Banguntapan 3,Bantul,2,Bantul | panjang | 2★,"Apakah memang alur utk mendapatkan rujukan harus menunggu waktu hingga 3 hari?
Sy priksa poli gigi, karna gigi bungsu sy tumbuh tdk sempurna dan menyebabkan gusi sekitarnya bengkak dan bernanah (akut). Kata dokter harus dicabut, bs dirujuk dgn alasan sarpras. Tp sy jg disarankan utk dicabut saat itu juga tp tdk bs ter cover bpjs dgn biaya cabut 500rb. Jd apakah memang sy hrus menunggu hingga 3 hari hny untuk mendapat rujukan?? Dan knp jika bs dilakukan tindakan di ppk 1 sy hrus bayar???"
PKM_SMG_020_R1113_09660cc7,PKM_SMG_020,Mijen,Semarang,1,Semarang | panjang | 1★,"Hari ini saya meriksakan anak saya di poli anak , nauzubillah pelayanan poli anaknya buruk ciri2 oranya pake kacamata tinggi masih muda dan sudah PNS, kok bisa aku periksa cari solusi malah di hujat dokter setan kali tuh,mana anak panas sama sekali gak diperiksa atau dipegang atau minimal dicek apa gitu, KOK TIDAK SAMA SEKALI, kok bisa seperti itu masih dipertahankan ,ternyata aku liat review nya banyak yang mengeluhkan manusia satu itu😒👹👹"
PKM_SMG_022_R1166_28705cfd,PKM_SMG_022,Ngaliyan,Semarang,1,Semarang | pendek | 1★,Ada igd nya kok g ada dokter jaganya?
PKM_SBY_001_R0215_665a9373,PKM_SBY_001,Balas  Klumprik,Surabaya,1,Surabaya | pendek | 1★,Pelayanannya sangat kurang...
PKM_SBY_009_R0186_52cb2709,PKM_SBY_009,Jemursari,Surabaya,1,Surabaya | panjang | 1★,"pelayanan tidak ramah, kalau memang tidak diperbolehkan menemani didalam bisa bicara baik"", tidak punya attitude, tidak seharusnya membentak, tidak hanya di saya saja tetapi di pasien sblmnya jg seperti itu"
PKM_SBY_011_R0399_32fae6d1,PKM_SBY_011,Kebonsari,Surabaya,2,Surabaya | panjang | 2★,"Saya priksa ke puskesmas ini baru pertama kali, menurut saya ada beberapa hal yang perlu diperbaiki:
1. Alur administrasi kurang jelas, tidak ada nomor antrian yg diberikan ke setiap pasien
2. Ruang pemeriksaan umum dengan ruang tunggu menjadi satu, sehingga tidak kondusif
3. Dokter hanya mengetes tensi darah tanpa dicheck stetoskop bagaiman detak jantung dan bagian lambung saya yg bermasalah (dan saya sudah menyampaikan hal tsb)
Sangat menyangkan pelayanan puskesmas seperti ini, mohon diperbaiki kedepannya."
PKM_SBY_055_R0189_f7318466,PKM_SBY_055,Sidotopo Wetan,Surabaya,2,Surabaya | panjang | 2★,"Fasilitas oke tapi pelayanan tolong juga diperbaiki. Ketika ada orang tanya sebaiknya dijawab dengan baik-baik tanpa suara meninggi dan dengan bahasa yg baik. Kita tau tidak hanya melayani 1-2 orang saja tapi itu memang kewajiban memberi pelayanan dan minta tolong dengan sikap baik.
Saat ini saya tanya ke bagian petugas seorang perempuan duduk dimeja pendaftaran /ambil nomor berhijab apakah anak bayi tindik itu ambil nomor sendiri atau hanya 1 nomor karena si ibu juga di poli KIA. Dan beliau menjawab dengan ketus ""kalau naik kereta itu kan bayar sendiri-sendiri meskipun tujuan sama"" . Untung saja gak saya bales omongan lihat usia ketika naik kereta.
Tolong ya jangan nyolot ketika ada org gak tau bertanya. Jawab baik-baik ya"
PKM_SBY_062_R0534_118db05f,PKM_SBY_062,Tenggilis,Surabaya,1,Surabaya | sedang | 1★,"Pelayanan jelek, petugas tidak ramah sama sekali...petugas kayak gitu lebih baik di ganti aja"
PKM_SMG_031_R0265_90af766b,PKM_SMG_031,Rowosari,Semarang,1,Semarang | pendek | 1★,"Pelayanan nya pol lama banget, ndak sat set"
PKM_SMG_032_R0609_a12170f6,PKM_SMG_032,Sekaran,Semarang,2,Semarang | pendek | 2★,Pelayanan nya lama banget
PKM_SBY_041_R0330_a524bb53,PKM_SBY_041,Krembangan Selatan,Surabaya,2,Surabaya | sedang | 2★,Saya kira hanya saya yg merasa kalau petugas loketnya tidak ramah.
PKM_BTL_014_R0340_90a6cfac,PKM_BTL_014,Kasihan 2,Bantul,1,Bantul | sedang | 1★,"Bidan pelayanan dikandungan parahh tidak ramah sekali ,,,,"
PKM_BTL_004_R0367_fd7e73e0,PKM_BTL_004,Banguntapan 3,Bantul,1,Bantul | pendek | 1★,antri obat lamaaaaa bgt
PKM_SBY_055_R0326_50f9c6ba,PKM_SBY_055,Sidotopo Wetan,Surabaya,1,Surabaya | panjang | 1★,"Pelayanan tidak memuaskan.. Antre dari jam 08.00 dipanggil jam 09.55 sampai poli Gigi ditolak dengan alasan faskes BPJS tidak sesuai.. Harusnya dari loket sudah diberi tahu kalo tidak bisa, kenapa pasien harus antre dulu sampe hampir 2 jam baru dikasih tau kalo tidak bisa berobat di puskesmas sidotopo wetan ?? Padahal saya KTP surabaya.. Kata Pak Eri dipermudah ?? Kenyataan nya ??"
